GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Modul glowny aplikacji - klasa Main z metoda main,pl.edu.agh.kis.pz1,FakturaWiersz,137,43,0,0,35,15,13,1,13,1
Modul glowny aplikacji - klasa Main z metoda main,pl.edu.agh.kis.pz1,XMLData.Naglowek.WersjaFormularza,0,12,0,0,0,4,0,1,0,1
Modul glowny aplikacji - klasa Main z metoda main,pl.edu.agh.kis.pz1,XMLData.FakturaWierszCtrl,0,7,0,0,0,3,0,1,0,1
Modul glowny aplikacji - klasa Main z metoda main,pl.edu.agh.kis.pz1,CSVReader,119,19,4,0,18,5,3,1,1,1
Modul glowny aplikacji - klasa Main z metoda main,pl.edu.agh.kis.pz1,ZloteStringAdapter,28,0,2,0,6,0,4,0,3,0
Modul glowny aplikacji - klasa Main z metoda main,pl.edu.agh.kis.pz1,XMLData.Naglowek,0,33,0,0,0,9,0,1,0,1
Modul glowny aplikacji - klasa Main z metoda main,pl.edu.agh.kis.pz1,Faktura,164,81,0,0,36,28,11,1,11,1
Modul glowny aplikacji - klasa Main z metoda main,pl.edu.agh.kis.pz1,XLSXReader,141,26,6,0,22,6,4,1,1,1
Modul glowny aplikacji - klasa Main z metoda main,pl.edu.agh.kis.pz1,Main,103,10,8,0,26,2,5,2,1,2
Modul glowny aplikacji - klasa Main z metoda main,pl.edu.agh.kis.pz1,IntGroszeAdapter,27,0,0,0,3,0,3,0,3,0
Modul glowny aplikacji - klasa Main z metoda main,pl.edu.agh.kis.pz1,XMLData.Podmiot1.IdentyfikatorPodmiotu,0,9,0,0,0,3,0,1,0,1
Modul glowny aplikacji - klasa Main z metoda main,pl.edu.agh.kis.pz1,XMLData,54,57,0,0,8,16,2,1,2,1
Modul glowny aplikacji - klasa Main z metoda main,pl.edu.agh.kis.pz1,XMLData.FakturaCtrl,0,7,0,0,0,3,0,1,0,1
Modul glowny aplikacji - klasa Main z metoda main,pl.edu.agh.kis.pz1,XMLData.Podmiot1,0,13,0,0,0,3,0,1,0,1
Modul glowny aplikacji - klasa Main z metoda main,pl.edu.agh.kis.pz1,XMLData.Podmiot1.AdresPodmiotu,0,30,0,0,0,10,0,1,0,1
